Position;Measurement;DateTime;MethodName;ResultType;SampleName;DigestionRun;StandardType;SampleType;CoreID;Top;Bottom;Replicate;CalConc;CalGroup;As 189.042;Cd 214.438;Co 228.616;Cr 267.716;Cu 324.754;Fe 259.9_2;Fe 262.829;Mn 257.611;Ni 231.604;Pb 220.353;Sn 242.949;Ti 307.864;Ti 334.941;Zn 213.856
544;Single;10.03.17 15:16;sedi_metalle;RawInt;S 0.5 mg A;;;MerckIVCal;;;;;0.5;1;14105.6;909371;410152;312896;465839;237965;79786.9;1384430;320543;70201.3;81391.7;135068;201702;533078
543;Single;10.03.17 15:16;sedi_metalle;RawInt;S 0.5 mg A;;;MerckIVCal;;;;;0.5;1;14129.7;901924;405924;310154;464883;238219;80219.2;1366730;318652;70178.2;82053.3;135878;203271;528768
542;Average;10.03.17 15:16;sedi_metalle;RawInt;S 0.5 mg A;;;MerckIVCal;;;;;0.5;1;14072;902098;406264;309996;463956;237419;79748.7;1369650;318180;69892;81522.2;135193;202016;528560
541;StdDev;10.03.17 15:16;sedi_metalle;RawInt;S 0.5 mg A;;;MerckIVCal;;;;;0.5;1;79.981;7187.58;3729.64;2982.14;2480.03;1171.99;490.716;13557.9;2630.41;515.847;479.321;631.4;1131.59;4625.51
540;Single;10.03.17 15:11;sedi_metalle;RawInt;S 0 mg A;;;MerckIVCal;;;;;0;1;13793.1;36497.6;66922.4;65307.3;180961;51723;45137.6;55895.5;79130.8;33986.4;80766;134275;200710;37671.2
539;Single;10.03.17 15:12;sedi_metalle;RawInt;S 0 mg A;;;MerckIVCal;;;;;0;1;13948;36634.5;66698.5;65190.8;180569;51330.6;45010.5;55439.5;78951.2;33901.3;80504.3;133869;200347;37585.1
538;Single;10.03.17 15:13;sedi_metalle;RawInt;S 0 mg A;;;MerckIVCal;;;;;0;1;13958.4;36819.1;67437.7;65346.5;181863;51423;45269.6;55819;79568.6;34197;81003.3;134837;201624;37762.3
537;Average;10.03.17 15:13;sedi_metalle;RawInt;S 0 mg A;;;MerckIVCal;;;;;0;1;13899.8;36650.4;67019.5;65281.5;181131;51492.2;45139.2;55718;79216.9;34028.2;80757.9;134327;200894;37672.9
536;StdDev;10.03.17 15:13;sedi_metalle;RawInt;S 0 mg A;;;MerckIVCal;;;;;0;1;92.58;161.339;379.052;80.985;663.539;205.149;129.558;244.202;317.571;152.224;249.599;486.091;658.014;88.612
535;Single;10.03.17 15:08;sedi_metalle;RawInt;Blank;1;;Blank;;;;;;;14107.7;37072.3;67560.8;65693;181989;78422.6;50287.8;64210.3;79924.2;34336.5;81435.6;136005;205845;37937.8
534;Single;10.03.17 15:08;sedi_metalle;RawInt;Blank;1;;Blank;;;;;;;14024.3;36312.4;66695.2;65145.1;179917;73339.8;49046.3;62116.9;78875.9;33811.9;80361.2;134343;202557;37519.9
533;Single;10.03.17 15:09;sedi_metalle;RawInt;Blank;1;;Blank;;;;;;;14092.5;37087.5;67614.5;65912.2;182309;69619.5;48659;61376.5;79827.1;34290.7;81437.4;135930;204808;37859.4
532;Average;10.03.17 15:09;sedi_metalle;RawInt;Blank;1;;Blank;;;;;;;14074.8;36824.1;67290.2;65583.4;181405;73794;49331;62567.9;79542.4;34146.4;81078.1;135426;204403;37772.4
531;StdDev;10.03.17 15:09;sedi_metalle;RawInt;Blank;1;;Blank;;;;;;;44.418;443.182;515.955;395.113;1298.54;4419.09;850.913;1469.75;579.244;290.56;620.825;938.655;1680.94;222.129
530;Single;10.03.17 15:04;sedi_metalle;RawInt;Channel Sediment 4;1;Channel Sediment;Standard;;;;4;;;15956;44514.3;90398.2;105165;220671;25210000;4680460;9131250;103008;43984.8;105892;1012490;3836540;424419
529;Single;10.03.17 15:05;sedi_metalle;RawInt;Channel Sediment 4;1;Channel Sediment;Standard;;;;4;;;15876.5;44047.2;89849.8;104838;219941;24970200;4623290;9044880;102711;43817;106143;1006160;3806800;423817
528;Single;10.03.17 15:05;sedi_metalle;RawInt;Channel Sediment 4;1;Channel Sediment;Standard;;;;4;;;15912.4;44291.3;89797.7;104993;220400;25276900;4722120;9085710;102872;43953.2;105340;1029040;3877720;425140
527;Average;10.03.17 15:05;sedi_metalle;RawInt;Channel Sediment 4;1;Channel Sediment;Standard;;;;4;;;15915;44284.3;90015.2;104999;220337;25152400;4675290;9087280;102864;43918.3;105792;1015900;3840350;424459
526;StdDev;10.03.17 15:05;sedi_metalle;RawInt;Channel Sediment 4;1;Channel Sediment;Standard;;;;4;;;39.812;233.629;332.68;163.574;369.013;161268;49617.4;43206.4;148.675;89.168;410.795;11814.3;35613.4;662.391
525;Single;10.03.17 15:01;sedi_metalle;RawInt;Channel Sediment 3;1;Channel Sediment;Standard;;;;3;;;16267;48177.7;78588;110512;228312;17154800;3229070;4589110;100813;47612.3;95592.2;441690;1464900;664247
524;Single;10.03.17 15:01;sedi_metalle;RawInt;Channel Sediment 3;1;Channel Sediment;Standard;;;;3;;;16144.7;48628.6;79175;111735;230398;17079400;3200090;4607910;101851;48126.5;96737.3;436973;1455390;663596
523;Single;10.03.17 15:02;sedi_metalle;RawInt;Channel Sediment 3;1;Channel Sediment;Standard;;;;3;;;16432.7;48242.6;79038.1;110878;229470;17064300;3224900;4551990;101493;47899.4;96374.7;442334;1460900;662374
522;Average;10.03.17 15:02;sedi_metalle;RawInt;Channel Sediment 3;1;Channel Sediment;Standard;;;;3;;;16281.5;48349.6;78933.7;111042;229393;17099500;3218020;4583000;101386;47879.4;96234.7;440332;1460400;663406
521;StdDev;10.03.17 15:02;sedi_metalle;RawInt;Channel Sediment 3;1;Channel Sediment;Standard;;;;3;;;144.544;243.762;307.11;627.712;1045.11;48482.7;15667.2;28455.8;527.258;257.683;585.241;2927.03;4774.94;950.896
520;Single;10.03.17 14:57;sedi_metalle;RawInt;Lake Sediment 4;1;Lake Sediment;Standard;;;;4;;;16515.4;48799.3;79478.3;114218;230538;17950400;3319420;4718200;102071;48427.4;96970.6;455734;1517020;661588
519;Single;10.03.17 14:58;sedi_metalle;RawInt;Lake Sediment 4;1;Lake Sediment;Standard;;;;4;;;16540.8;49131;79858.4;115204;231692;18010400;3361470;4789190;102976;48782.5;98240.1;456925;1537890;680288
518;Single;10.03.17 14:58;sedi_metalle;RawInt;Lake Sediment 4;1;Lake Sediment;Standard;;;;4;;;16664.6;48913.3;79970.6;115025;231823;17863600;3376520;4678120;102803;48725.1;97536.7;463800;1539830;671800
517;Average;10.03.17 14:58;sedi_metalle;RawInt;Lake Sediment 4;1;Lake Sediment;Standard;;;;4;;;16573.6;48947.9;79769.1;114816;231351;17941500;3352470;4728500;102617;48645;97582.5;458820;1531580;671225
516;StdDev;10.03.17 14:58;sedi_metalle;RawInt;Lake Sediment 4;1;Lake Sediment;Standard;;;;4;;;79.825;168.53;258.013;525.275;707.119;73806.6;29594.8;56247.3;480.413;190.62;635.986;4354.01;12646.6;9363.24
515;Single;10.03.17 14:53;sedi_metalle;RawInt;Lake Sediment 3;1;Lake Sediment;Standard;;;;3;;;17619.2;43388;87327;159051;233525;21138900;3923850;2874310;136457;52869;99971.4;1076610;4115430;429163
514;Single;10.03.17 14:54;sedi_metalle;RawInt;Lake Sediment 3;1;Lake Sediment;Standard;;;;3;;;17435.7;44013.9;88780;160633;236643;21647500;3969940;2946380;138185;53747;101671;1072720;4113600;430965
513;Single;10.03.17 14:54;sedi_metalle;RawInt;Lake Sediment 3;1;Lake Sediment;Standard;;;;3;;;17518.7;43861.2;88077.5;157414;234887;21494000;3964770;2920560;136012;53072.6;100283;1074630;4102150;425381
512;Average;10.03.17 14:54;sedi_metalle;RawInt;Lake Sediment 3;1;Lake Sediment;Standard;;;;3;;;17524.5;43754.4;88061.5;159033;235018;21426800;3952850;2913750;136885;53229.5;100642;1074650;4110390;428503
511;StdDev;10.03.17 14:54;sedi_metalle;RawInt;Lake Sediment 3;1;Lake Sediment;Standard;;;;3;;;91.889;326.34;726.632;1609.58;1563.14;260874;25250.3;36514.4;1147.89;459.556;904.828;1945.1;7197.34;2849.91
510;Single;10.03.17 14:50;sedi_metalle;RawInt;LKSD-3_4;1;LKSD-3;Standard;;;;4;;;17565.6;43671.9;88256.4;161027;235979;21512900;4033800;2911650;138208;53449.6;100403;1081100;4116590;438591
509;Single;10.03.17 14:50;sedi_metalle;RawInt;LKSD-3_4;1;LKSD-3;Standard;;;;4;;;17822.6;43821.7;88872.2;163143;236979;22188300;4092970;3050550;139682;53839.4;101646;1081520;4157880;450493
508;Single;10.03.17 14:51;sedi_metalle;RawInt;LKSD-3_4;1;LKSD-3;Standard;;;;4;;;17749.9;44197.8;88943.5;162996;237664;22668800;4205680;3082600;139427;54042.9;101228;1102660;4226570;448463
507;Average;10.03.17 14:51;sedi_metalle;RawInt;LKSD-3_4;1;LKSD-3;Standard;;;;4;;;17712.7;43897.1;88690.7;162389;236874;22123300;4110820;3014930;139106;53777.3;101092;1088430;4167010;445849
506;StdDev;10.03.17 14:51;sedi_metalle;RawInt;LKSD-3_4;1;LKSD-3;Standard;;;;4;;;132.477;270.943;377.801;1181.53;847.393;580682;87318.7;90870.2;787.788;301.486;632.508;12328.2;55555.9;6367.04
505;Single;10.03.17 14:46;sedi_metalle;RawInt;LKSD-3_3;1;LKSD-3;Standard;;;;3;;;16830.9;42482.1;104831;128999;215479;24097600;4438660;6372310;122234;41343;104204;720254;2622440;298888
504;Single;10.03.17 14:47;sedi_metalle;RawInt;LKSD-3_3;1;LKSD-3;Standard;;;;3;;;16785.3;42629.2;105342;129670;215802;24347400;4472190;6449200;123056;41435.3;104586;716487;2616040;301535
503;Single;10.03.17 14:47;sedi_metalle;RawInt;LKSD-3_3;1;LKSD-3;Standard;;;;3;;;16793.8;42828.2;106103;130273;216505;24132900;4430210;6372070;123585;41595.5;104851;724835;2635990;306810
502;Average;10.03.17 14:47;sedi_metalle;RawInt;LKSD-3_3;1;LKSD-3;Standard;;;;3;;;16803.3;42646.5;105425;129647;215929;24192600;4447020;6397860;122958;41457.9;104547;720525;2624820;302411
501;StdDev;10.03.17 14:47;sedi_metalle;RawInt;LKSD-3_3;1;LKSD-3;Standard;;;;3;;;24.249;173.697;640.082;637.302;524.597;135189;22203.5;44461.9;680.775;127.763;325.258;4180.61;10186.3;4033
500;Single;10.03.17 14:42;sedi_metalle;RawInt;LKSD-2_4;1;LKSD-2;Standard;;;;4;;;16679.5;42463;105149;126946;214942;24251900;4443800;6460720;122081;41394.1;104207;996375;3793220;303969
499;Single;10.03.17 14:43;sedi_metalle;RawInt;LKSD-2_4;1;LKSD-2;Standard;;;;4;;;16566.5;42336.8;104451;126129;214751;24157800;4443210;6416070;121305;41412.8;103374;998103;3791140;300881
498;Single;10.03.17 14:44;sedi_metalle;RawInt;LKSD-2_4;1;LKSD-2;Standard;;;;4;;;16708.4;42731;105815;127320;216278;23954500;4401490;6388760;122564;41758.2;104668;997227;3799320;305855
497;Average;10.03.17 14:44;sedi_metalle;RawInt;LKSD-2_4;1;LKSD-2;Standard;;;;4;;;16651.5;42510.3;105138;126798;215324;24121400;4429500;6421850;121983;41521.7;104083;997235;3794560;303568
496;StdDev;10.03.17 14:44;sedi_metalle;RawInt;LKSD-2_4;1;LKSD-2;Standard;;;;4;;;74.989;201.306;682.063;609.077;831.976;152005;24259.2;36326.5;635.157;205.028;655.851;864.028;4251.45;2511.09
495;Single;10.03.17 14:39;sedi_metalle;RawInt;LKSD-2_3;1;LKSD-2;Standard;;;;3;;;15968.5;44914.8;91617.6;109909;223457;27060700;5078780;9943380;105253;44848.4;108686;790497;2910680;451407
494;Single;10.03.17 14:39;sedi_metalle;RawInt;LKSD-2_3;1;LKSD-2;Standard;;;;3;;;16159.2;44417.9;90755.6;108466;221806;26736300;4996090;9810680;103988;44352.6;107819;791071;2913500;449699
493;Single;10.03.17 14:40;sedi_metalle;RawInt;LKSD-2_3;1;LKSD-2;Standard;;;;3;;;15977.1;44585.4;91481;109328;222342;27089700;5052770;10013900;104674;44452.3;108350;795679;2940170;458758
492;Average;10.03.17 14:40;sedi_metalle;RawInt;LKSD-2_3;1;LKSD-2;Standard;;;;3;;;16034.9;44639.4;91284.7;109234;222535;26962200;5042550;9922650;104638;44551.1;108285;792416;2921450;453288
491;StdDev;10.03.17 14:40;sedi_metalle;RawInt;LKSD-2_3;1;LKSD-2;Standard;;;;3;;;107.704;252.808;463.305;726.046;842.251;196201;42282.3;103183;633.254;262.251;437.14;2840.66;16273.2;4813.52
490;Single;10.03.17 14:35;sedi_metalle;RawInt;ZH16-10 15-15.5;1;;Sample;ZH-16-10;15;15.5;;;;16273.5;41810.3;74340.6;115596;214382;11371700;2120790;1888390;101580;51666.4;90379.6;356701;1140260;169626
489;Single;10.03.17 14:36;sedi_metalle;RawInt;ZH16-10 15-15.5;1;;Sample;ZH-16-10;15;15.5;;;;16301.2;41987.8;74709.2;117124;215822;11527000;2104040;1920040;102219;52246.4;91214.3;352983;1134010;173597
488;Single;10.03.17 14:36;sedi_metalle;RawInt;ZH16-10 15-15.5;1;;Sample;ZH-16-10;15;15.5;;;;16355.1;41609.4;74218.6;116192;214908;11393400;2131600;1937220;101714;51865.3;90630.5;356995;1147000;171621
487;Average;10.03.17 14:36;sedi_metalle;RawInt;ZH16-10 15-15.5;1;;Sample;ZH-16-10;15;15.5;;;;16309.9;41802.5;74422.8;116304;215037;11430700;2118810;1915220;101838;51926;90741.5;355560;1140420;171615
486;StdDev;10.03.17 14:36;sedi_metalle;RawInt;ZH16-10 15-15.5;1;;Sample;ZH-16-10;15;15.5;;;;41.495;189.321;255.421;770.132;728.66;84101.1;13886.3;24769.8;336.972;294.731;428.271;2236.3;6496.54;1985.51
485;Single;10.03.17 14:32;sedi_metalle;RawInt;ZH16-10 12.5-13;1;;Sample;ZH-16-10;12.5;13;;;;16385.1;41481.5;72778.5;109080;215995;9513590;1775980;1319270;96513.5;51408.2;89056.6;335196;1052890;169631
484;Single;10.03.17 14:32;sedi_metalle;RawInt;ZH16-10 12.5-13;1;;Sample;ZH-16-10;12.5;13;;;;16450.2;41074.1;72243.4;108934;215005;9454270;1748500;1337010;95814.1;51226;89223.1;329201;1043850;170513
483;Single;10.03.17 14:33;sedi_metalle;RawInt;ZH16-10 12.5-13;1;;Sample;ZH-16-10;12.5;13;;;;16416.8;41335.9;72425.8;108378;215171;9526610;1782140;1319280;96166.2;51178.9;89049.6;335244;1054650;167901
482;Average;10.03.17 14:33;sedi_metalle;RawInt;ZH16-10 12.5-13;1;;Sample;ZH-16-10;12.5;13;;;;16417.4;41297.2;72482.6;108797;215390;9498160;1768870;1325190;96164.6;51271;89109.8;333214;1050460;169348
481;StdDev;10.03.17 14:33;sedi_metalle;RawInt;ZH16-10 12.5-13;1;;Sample;ZH-16-10;12.5;13;;;;32.554;206.443;272.029;370.418;530.194;38560.5;17910.6;10239.3;349.703;121.102;98.212;3475.15;5794.53;1328.74
480;Single;10.03.17 14:28;sedi_metalle;RawInt;ZH16-10 10-10.5;1;;Sample;ZH-16-10;10;10.5;;;;19395.1;44311;72390.4;181741;355114;10041500;1903330;1384690;97078.9;148561;89063.5;362454;1168690;377893
479;Single;10.03.17 14:29;sedi_metalle;RawInt;ZH16-10 10-10.5;1;;Sample;ZH-16-10;10;10.5;;;;19627.6;44679;73173.7;185867;360238;10173300;1913540;1421930;98070.8;152247;90255.7;362656;1176840;387780
478;Single;10.03.17 14:29;sedi_metalle;RawInt;ZH16-10 10-10.5;1;;Sample;ZH-16-10;10;10.5;;;;19755.6;44856.1;72973.7;183576;357444;10293100;1918590;1390800;97935.3;150690;89568.3;364072;1175020;379499
477;Average;10.03.17 14:29;sedi_metalle;RawInt;ZH16-10 10-10.5;1;;Sample;ZH-16-10;10;10.5;;;;19592.8;44615.4;72845.9;183728;357599;10169300;1911820;1399140;97695;150499;89629.2;363061;1173520;381724
476;StdDev;10.03.17 14:29;sedi_metalle;RawInt;ZH16-10 10-10.5;1;;Sample;ZH-16-10;10;10.5;;;;182.757;278.065;406.98;2067.2;2565.5;125848;7774.04;19971.8;537.842;1850.38;598.426;881.645;4277.92;5305.77
475;Single;10.03.17 14:24;sedi_metalle;RawInt;ZH16-10 9.5-10;1;;Sample;ZH-16-10;9.5;10;;;;24127.5;46356.3;73945.5;265327;540574;10774600;1991120;1451270;98689.9;271218;91226.6;358247;1144100;463171
