FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ti_Area ;Ti_ DArea ;Ti_ ChiSqr;V_Area ;V_ DArea ;V_ ChiSqr;Cr_Area ;Cr_ DArea ;Cr_ ChiSqr;Mn_Area ;Mn_ DArea ;Mn_ ChiSqr;Fe_Area ;Fe_ DArea ;Fe_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  185.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:40;;185;;17333;542;1;1787;420;1.1;8661;383;4.1;3681;393;0.5;251706;686;4.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  190.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:41;;190;;17789;545;0.5;957;422;1.2;8141;383;3.7;3353;394;0.8;227151;669;4.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  195.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:42;;195;;19259;548;1.5;1682;424;1.5;7200;384;2.6;3485;396;0.7;245338;684;4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  200.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:43;;200;;17510;542;1.2;1029;419;2.3;9032;382;6.5;3957;394;0.9;242342;681;3.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  205.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:44;;205;;14941;541;1.1;1619;421;0.9;7203;382;3.1;4260;395;0.4;252657;687;3.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  210.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;46;03.01.17 12:45;;210;;16427;540;1.4;1522;419;1.3;8478;383;4;4852;396;0.6;233679;674;3.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  215.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:46;;215;;21754;549;1.1;1514;422;0.9;7513;383;4.3;4151;395;0.9;267162;697;3.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  220.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:47;;220;;24888;552;0.7;1984;423;1.1;7054;382;2.9;4017;394;0.6;284363;707;3.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  225.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:48;;225;;28494;559;0.8;2342;426;1.2;7327;383;2.1;5341;397;0.7;327526;738;3.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  230.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:49;;230;;21422;550;0.9;1924;423;1.1;7511;381;3.6;4364;394;0.3;270300;700;3.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  235.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;44;03.01.17 12:50;;235;;19867;548;1.4;1874;424;0.8;6519;384;3.9;4401;398;0.6;252463;688;3.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-10\Run 1 at  10kV\ZH-16-10  240.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;45;03.01.17 12:51;;240;;24568;555;1.8;2640;426;1.6;7913;385;4.9;4365;398;0.5;288108;713;4.7
