FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  150.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:25;;150;;1818;96;1.6;9666;150;0.4;7404;165;1.2;-117;186;1;3828;503;0.7;22937;638;0.5;90620;824;0.9;9018;716;1.5;18506;760;1.3;1261;807;0.8;-203;783;0.7;1711;261;0.8;23924;346;1.3;1172;341;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  155.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;04.01.17 20:26;;155;;2068;3;1.6;8904;4;0.7;6862;5;0.9;240;6;0.9;3598;15;1.3;24715;20;0.5;92407;23;0.3;8032;22;1;20245;24;0.7;20;24;0.6;34;24;0.4;1137;8;0.9;14331;10;0.9;1242;10;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  160.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:27;;160;;2004;99;1.7;8967;148;0.7;6430;161;0.6;676;184;0.3;3601;500;1;24689;634;0.4;96412;833;0.7;8998;711;0.8;18685;760;0.6;-224;842;0.7;42;790;0.3;1471;261;0.5;11118;321;0.7;1031;335;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  165.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:29;;165;;1770;97;1.5;7921;145;1;6155;161;0.4;875;185;0.7;3956;505;0.7;25543;642;1;95131;839;0.5;7569;718;0.8;17905;767;0.7;-1119;873;0.7;249;812;0.3;1210;262;0.9;7984;319;1.1;1321;339;1.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  170.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:30;;170;;1878;97;1.4;7721;143;0.5;6273;162;0.8;373;185;1;3837;505;1.1;26044;645;0.4;92357;837;0.9;7366;719;1;18655;769;0.4;294;882;1.4;950;813;0.9;1519;262;0.7;7323;316;0.6;1598;338;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  175.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:31;;175;;2124;99;1.4;7367;140;0.9;6360;161;0.6;785;183;0.9;3995;501;1.1;25491;640;0.4;93055;833;0.2;6806;713;0.7;18566;764;0.6;-373;861;1;-466;814;0.8;2085;259;0.9;7354;313;0.6;1484;334;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  180.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;71;04.01.17 20:33;;180;;2023;98;2.1;6995;138;0.9;6679;162;0.7;611;183;0.6;3614;498;1.2;27353;640;0.6;93248;828;0.8;7679;711;1.1;17864;761;0.7;-251;876;0.6;-258;817;0.8;1685;258;0.9;6707;310;0.7;1603;333;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  185.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;04.01.17 20:34;;185;;2274;100;1.7;7154;138;0.7;6571;162;0.8;850;183;0.9;3594;498;0.9;27979;640;0.3;93577;827;0.5;8650;711;1.1;20397;761;0.5;-686;864;0.6;1958;813;1;1895;260;0.8;6638;312;0.8;1049;333;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  190.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;04.01.17 20:36;;190;;2252;100;1.4;6544;137;0.7;6751;164;0.6;1094;185;1;3054;503;0.9;27804;646;0.6;91717;832;0.5;8145;718;0.8;20556;769;0.3;-828;871;1.2;-834;829;0.7;1822;262;0.5;6538;315;0.7;1243;338;1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  195.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;72;04.01.17 20:37;;195;;2671;102;1.7;6730;138;0.6;7285;168;0.8;323;185;0.6;3788;504;0.9;31042;651;0.6;91841;830;0.5;8672;718;0.8;22002;772;0.6;1303;867;1;2085;822;1;2162;262;1.3;7654;315;0.9;1324;336;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  200.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:38;;200;;2498;3;1.3;7221;4;0.7;7473;5;0.7;1013;6;0.7;3726;15;0.5;30749;20;0.7;91336;23;0.6;8260;22;0.7;22470;24;0.5;-112;24;1;-1113;24;0.9;1484;8;1;6424;10;0.9;980;11;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  205.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:40;;205;;2515;3;0.9;6842;4;0.9;7474;5;0.7;644;6;0.6;3872;15;1.1;30042;20;0.4;89791;23;0.9;8995;22;0.6;20053;24;0.7;-635;24;1.1;-853;24;0.6;1693;8;1;6987;10;0.7;1136;10;0.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  210.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:41;;210;;2529;3;0.8;6920;4;1.4;7972;5;1.3;605;6;0.9;4623;15;0.5;31314;20;0.6;93048;23;0.4;8150;22;1.4;21261;24;0.7;44;24;1.1;-911;24;1.2;1796;8;1.1;6829;10;0.8;1449;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZUR-16\XRF\ZH-16-12\Run 2 at  30kV\ZH-16-12  215.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;04.01.17 20:43;;215;;2183;99;1.2;6641;136;0.6;7081;165;1.4;643;185;0.6;3922;502;1;30079;650;0.4;91039;827;0.6;8548;719;0.8;20700;770;0.8;-93;895;1.3;256;833;0.8;1189;261;0.9;6625;314;0.9;935;335;0.8
