FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Al_Area ;Al_ DArea ;Al_ ChiSqr;Si_Area ;Si_ DArea ;Si_ ChiSqr;P_Area ;P_ DArea ;P_ ChiSqr;S_Area ;S_ DArea ;S_ ChiSqr;Cl_Area ;Cl_ DArea ;Cl_ ChiSqr;K_Area ;K_ DArea ;K_ ChiSqr;Ca_Area ;Ca_ DArea ;Ca_ ChiSqr;Rh_Area ;Rh_ DArea ;Rh_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  155.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;51;11.04.17 12:58;;155;;6293;189;3.3;128305;427;2.3;-2459;241;6.5;13897;290;24.1;10834;801;6.6;6640;432;14.7;3509350;1864;46.2;231931;1129;9.3
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  160.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 12:59;;160;;6319;191;2.8;127685;427;3;-2125;244;4.4;14449;293;23.7;11492;806;7.3;5705;433;16.6;3667145;1903;45.7;235065;1135;9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  165.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:00;;165;;6316;193;2.1;124560;425;3;-2538;251;5.6;13448;295;23.5;11497;824;6.2;2774;432;13.1;3856368;1947;49.4;240062;1157;7.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  170.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;52;11.04.17 13:01;;170;;5743;189;2.6;116030;412;1.9;-2694;244;3.9;12273;287;26.7;10768;813;5;1916;422;10.1;3671362;1903;46.2;234556;1140;6.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  175.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;53;11.04.17 13:02;;175;;6212;194;2.6;125140;426;2.4;-3116;250;5.3;13461;293;27.7;10955;817;7;3940;433;13.5;3869671;1951;45.6;239541;1150;10.4
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  180.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:03;;180;;5989;195;2.8;117477;418;2.3;-2437;257;6.8;12301;294;29.1;10851;824;6.2;1936;433;11.7;4148601;2016;47.1;235811;1154;7.2
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  185.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:04;;185;;5884;194;3.6;116808;418;2;-3175;260;5.2;12815;298;21.9;11198;834;7.4;10;434;10;4238354;2036;47.6;241038;1166;8.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  190.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:05;;190;;5284;191;2.6;105119;401;3;-2378;260;4.2;11524;294;23;10905;846;6.9;-3138;423;6.5;4232850;2033;48.2;241546;1174;5.5
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  195.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;55;11.04.17 13:07;;195;;6016;196;3.7;123786;427;2.4;-3178;257;6.2;13824;299;18.7;11441;835;5.8;1540;432;11.7;4135898;2012;45.1;245117;1168;8.1
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-20\Run 1 at  10kV\ZH-17-20  200.0mm  30s  10kV 1500uA No-Filter   0.0mm Run1 Rep0.wax;30;54;11.04.17 13:08;;200;;5960;193;3.5;119156;419;2.9;-2813;253;4.4;13143;293;23.6;9647;809;6.2;-205;426;11.4;4042365;1990;45.9;227302;1135;7.1
