FileName;LiveTime ; RealTime ; MeasurementDate ; MeasurementTime ; Sample_ID ; User_ID;Ni_Area ;Ni_ DArea ;Ni_ ChiSqr;Cu_Area ;Cu_ DArea ;Cu_ ChiSqr;Zn_Area ;Zn_ DArea ;Zn_ ChiSqr;Ga_Area ;Ga_ DArea ;Ga_ ChiSqr;Br_Area ;Br_ DArea ;Br_ ChiSqr;Rb_Area ;Rb_ DArea ;Rb_ ChiSqr;Sr_Area ;Sr_ DArea ;Sr_ ChiSqr;Y_Area ;Y_ DArea ;Y_ ChiSqr;Zr_Area ;Zr_ DArea ;Zr_ ChiSqr;Nb_Area ;Nb_ DArea ;Nb_ ChiSqr;Mo_Area ;Mo_ DArea ;Mo_ ChiSqr;Hg_Area ;Hg_ DArea ;Hg_ ChiSqr;Pb_Area ;Pb_ DArea ;Pb_ ChiSqr;Bi_Area ;Bi_ DArea ;Bi_ ChiSqr
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  155.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:36;;155;;1605;3;3.9;9942;5;0.5;24648;7;1;-231;6;0.9;5204;15;0.4;11780;20;0.6;133850;24;0.6;7675;23;1.2;20488;24;0.7;450;24;0.8;-912;25;1.3;1578;8;0.8;12605;10;1.4;1351;11;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  160.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:37;;160;;1590;3;4.7;11782;5;0.3;26680;7;1.1;-218;6;0.7;4855;15;1;12099;20;0.6;134050;24;0.5;6049;23;1;20137;24;0.6;-292;24;0.7;286;25;1.3;1605;8;0.8;13498;10;0.6;1051;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  165.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:39;;165;;1739;3;3.4;12498;5;0.7;30533;7;0.6;-393;6;0.8;5467;15;1;15733;20;0.6;138904;24;0.3;6442;23;0.7;24997;24;0.8;992;24;0.5;-1183;25;1;1826;8;0.9;16588;10;1.1;941;11;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  170.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;75;10.04.17 19:40;;170;;1714;3;4;13609;5;1.4;35290;7;0.7;-543;6;0.8;4584;15;0.7;14698;20;0.5;140163;24;0.8;7522;23;0.6;27994;24;0.8;251;24;0.8;210;25;1.1;1395;8;0.5;18275;10;1.1;1160;11;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  175.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;74;10.04.17 19:42;;175;;1719;3;4.1;14863;5;0.4;45178;8;0.8;-399;6;1.3;4735;15;0.7;13712;19;0.7;143492;24;1;7774;22;0.9;30962;24;1.5;926;24;0.6;368;24;0.9;1816;8;0.8;20429;10;1.4;1016;11;0.6
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  180.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:43;;180;;1812;3;4.5;13786;5;0.6;44010;8;0.8;-338;6;1;3502;15;0.6;17036;19;0.6;141895;24;1;9047;22;1.4;32972;24;1;925;24;0.8;1430;24;1;1439;8;0.6;22165;10;1.3;1372;10;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  185.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:44;;185;;1903;3;3.6;13638;5;0.7;46065;8;0.7;-489;6;1.3;3270;15;0.7;17653;19;0.7;137453;24;0.6;9708;22;1.5;28945;24;0.6;1756;23;0.8;87;24;0.9;1183;8;0.7;25587;10;1.5;1027;10;0.7
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  190.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:46;;190;;2011;3;3;11039;5;0.7;46566;8;1;-453;6;0.8;3413;15;0.8;17133;19;0.4;136808;24;0.8;7752;22;1.1;24864;23;0.8;3446;23;1;2418;24;1.1;1461;8;0.8;23719;10;1.3;912;10;0.9
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  195.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:47;;195;;1898;3;4.4;11785;5;0.7;46656;8;0.7;-745;6;1.3;2349;15;0.9;16781;19;0.5;139104;24;0.7;8385;22;0.8;28707;24;0.9;2303;23;0.9;289;24;1;1701;8;0.9;23216;10;1.3;847;10;0.8
e:\XRF_Data\Nathalie Dubois\Zurichsee\ZH-17\ZH-17-17\Run 2 at  30kV\ZH-17-17  200.0mm  30s  30kV 2000uA Pd-Thick   0.0mm Run2 Rep0.wax;30;73;10.04.17 19:49;;200;;1946;3;3.3;11101;5;0.6;50332;8;1;-634;6;0.8;3702;15;0.8;16990;19;0.6;138885;24;0.5;8301;22;1;30241;24;1;1448;23;0.5;6;24;1.1;1318;8;0.6;23069;10;2.2;407;10;1
